task_id,indicator,name,source,frequency,group_id,batch,status,current_first_as_of,current_first_data_period,current_strict_periods,classification,target_data_period,target_as_of,evidence_status,source_route,parser_work,scope_check,first_action
PIT34-22,CN_SERVICE_PRODUCTION_YOY,服务业生产指数同比,NBS,M,service,B01,PLANNED,2022-04-30,2022-03,33,later_or_scope_review,2017-03单月样本已找到；更早单月值需独立证据,争取2017-04-30；2017-03发布的1—2月累计不直接用,OFFICIAL_MONTHLY_SAMPLE_FOUND_NOT_ARCHIVED,统计局2017-04-17一季度综合稿月度附表,月度列与一季度累计列分离；首期1—2月累计不落单月字段,2017-03开始正式发布，但现字段是单月同比，不以首次发布制度月份替代数据期,下载并独立核验2017-04-17附表的3月服务业生产指数
PIT34-23,CN_URBAN_SURVEYED_UNEMPLOYMENT,城镇调查失业率,NBS,M,unemployment,B01,PLANNED,2022-04-30,2022-03,34,later_or_scope_review,2018年首稿明确披露月份；另查此前同口径零星披露,争取2018-04-30或更早确证披露月末,REGULAR_PUBLICATION_START_VERIFIED,统计局2018-04首发问答与一季度经济发布稿,同篇列1/2/3月时分月写入；全国/31大城市/年龄分组/季度平均分离,不用城镇登记失业率替代；早期月份一起披露时共用真实发布时间,核2018-04-17首稿是否逐月列值；从正文最早披露月份开始建记录
PIT34-25,CN_PMI_COMPOSITE,综合PMI产出指数,NBS,M,composite_pmi,B01,PLANNED,2021-09-30,2021-09,59,later_or_scope_review,2018-01,2018-01-31（须核正文原时刻）,OFFICIAL_FIRST_RELEASE_FOUND_NOT_ARCHIVED,统计局2018-01-31采购经理指数稿及首发说明,综合PMI独立指标；同稿制造业/非制造业分项复用核验,不根据GDP权重自行合成2005年的综合PMI；2018年前试算不倒填,下载2018-01原稿核8个字段；综合PMI从明确首发月开始
PIT34-01,CN_M0_YOY,M0同比,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-02,CN_M1_YOY,M1同比,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-03,CN_M2_YOY,M2同比,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-04,CN_RMB_DEPOSIT_BAL_YOY,人民币存款余额同比,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-05,CN_RMB_LOAN_BAL_YOY,人民币贷款余额同比,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-06,CN_NEW_RMB_DEPOSITS_YTD,新增人民币存款累计,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-07,CN_NEW_RMB_LOANS_YTD,新增人民币贷款累计,PBOC,M,money_credit,B02,PLANNED,2026-06-30,2026-05,2,seek_2005,2005-01；找不到则2005年最早原稿，再追查之前月份,2005年实际发布后的首个月末，具体日期待核,NEEDS_OFFICIAL_ARCHIVE,人民银行历史金融运行/金融统计报告；政府网或政府部门保留的央行全文；允许访问的历史PDF,正文限域；M0流通中现金旧称；亿元/万亿元；同比/季调折年率；当月/累计；人民币/本外币,新增存贷款必须是金融统计总量，不能取社融贷款分项。1月当月可等于年内累计，其他月份不得直接映射。M1等历史定义变化单列版本说明。,先定位2005年1月及一季度金融报告，封存3—5篇允许访问的原稿；有季度稿先补确证季末，月缺口继续开放
PIT34-18,CN_FX_RESERVE_USD,外汇储备,SAFE,M,fx_reserve,B02,PLANNED,2024-09-30,2024-08,23,seek_2005,2005-01；必要时先补2005-03等确证季末,争取2005年实际发布月末,VALUES_EXIST_RELEASE_EVIDENCE_MISSING,SAFE/PBOC当时储备或金融统计新闻稿、政府原文转载,月末/季末外汇储备余额；亿美元转bn_usd；跨来源同字段的真实发布机构记录,既有1999年以来C/D时间序列不整体升级；每期找真实旧稿；后来年度汇编仍按现有C处理,与B02金融报告共用原稿，核2005年一季度储备段；随后再追1、2月独立证据
PIT34-08,CN_PMI_MANUFACTURING,制造业采购经理指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-09,CN_PMI_PRODUCTION,制造业PMI生产指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-10,CN_PMI_NEW_ORDERS,制造业PMI新订单指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-11,CN_PMI_RAW_MATERIAL_INVENTORY,制造业PMI原材料库存指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-12,CN_PMI_EMPLOYMENT,制造业PMI从业人员指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-13,CN_PMI_SUPPLIER_DELIVERY,制造业PMI供应商配送时间指数,NBS,M,manufacturing_pmi,B03,PLANNED,2021-09-30,2021-09,59,seek_2005,2005年各分项实际首发数据期,争取2005年；各分项实际公开时点分别核对,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局旧新闻稿、采购经理调查首发说明及政府转载,早期制造业表格和旧字段名称；供应商配送指数方向；月度季调版本,2005调查制度起点不等于6项公开起点；原材料库存与产成品库存分开；2018稿附列2017历史不得倒填2017可用时间,先复用B01的2018样本验证8字段，再执行2005年PMI窄搜索；后续按年查2006—2020
PIT34-14,CN_GDP_YOY,国内生产总值同比,NBS,Q,gdp,B03,PLANNED,2021-10-31,2021-Q3,20,seek_2005,2005-Q1；随后2005-Q2/Q3/Q4,争取2005年4月或实际首稿月末,NEEDS_EARLY_RELEASE,统计局季度国民经济发布会、GDP初步核算稿,季度标题省略年份；综合稿GDP正文；当季同比与累计同比列,一季度累计可对应当季；半年/前三季度/全年增速不能分别冒充Q2/Q3/Q4；后续经济普查修订保留晚发布版本,搜索2005年4—5月一季度综合稿，核定Q1原值和时间；单独列出Q2—Q4当季证据
PIT34-15,CN_REAL_ESTATE_INVESTMENT_YTD_YOY,房地产开发投资累计同比,NBS,M,real_estate,B03,PLANNED,2022-04-30,2022-03,33,seek_2005,2005-02（1—2月累计）或该年最早可核验期,争取2005年3月或实际发布月末,HISTORICAL_SCOPE_REVIEW_REQUIRED,统计局全国房地产开发和销售专项稿、同期综合稿,旧商品房销售标题及年度范围白名单；累计投资/销售面积/金额的表头和单位,先核商品房与新建商品房、住宅与全部商品房、投资行业与房地产开发投资；不无条件扩大2022/2023现有别名规则,搜索2005年3—7月房地产原稿，先核1—2月三项，有定义证据后再封存全年清单
PIT34-16,CN_NEW_HOME_SALES_AREA_YTD_YOY,新建商品房销售面积累计同比,NBS,M,real_estate,B03,PLANNED,2022-04-30,2022-03,33,seek_2005,2005-02（1—2月累计）或该年最早可核验期,争取2005年3月或实际发布月末,HISTORICAL_SCOPE_REVIEW_REQUIRED,统计局全国房地产开发和销售专项稿、同期综合稿,旧商品房销售标题及年度范围白名单；累计投资/销售面积/金额的表头和单位,先核商品房与新建商品房、住宅与全部商品房、投资行业与房地产开发投资；不无条件扩大2022/2023现有别名规则,搜索2005年3—7月房地产原稿，先核1—2月三项，有定义证据后再封存全年清单
PIT34-17,CN_NEW_HOME_SALES_VALUE_YTD_YOY,新建商品房销售额累计同比,NBS,M,real_estate,B03,PLANNED,2022-04-30,2022-03,33,seek_2005,2005-02（1—2月累计）或该年最早可核验期,争取2005年3月或实际发布月末,HISTORICAL_SCOPE_REVIEW_REQUIRED,统计局全国房地产开发和销售专项稿、同期综合稿,旧商品房销售标题及年度范围白名单；累计投资/销售面积/金额的表头和单位,先核商品房与新建商品房、住宅与全部商品房、投资行业与房地产开发投资；不无条件扩大2022/2023现有别名规则,搜索2005年3—7月房地产原稿，先核1—2月三项，有定义证据后再封存全年清单
PIT34-19,CN_FAI_YTD_YOY,固定资产投资累计同比,NBS,M,investment,B04,PLANNED,2022-04-30,2022-03,33,later_or_scope_review,现不含农户口径争取2011-02；基建/制造业最早可比期另核,FAI争取2011-03；两分项由口径证据决定,2011_BREAK_VERIFIED_COMPONENT_START_PENDING,2011年统计局投资专项稿及统计制度；综合稿分行业附表,制造业、基建表格YTD列；基建是否排除电热气水；旧城镇口径独立series,2005旧城镇投资不能接入现代FAI；三项分别核定，不以一项有值代表全部可用,定位2011年1—2月投资稿并核三项口径；如基建分项尚未公开，向后寻找首次同口径披露
